업종,신고번호,상호,우편번호,시설주소(지번),시설주소(도로명),시설부지면적(제곱미터),시설면적(제곱미터),건물연면적(제곱미터),건물구조,지역구분,영업구분,최초등록일자,최근변경일자,민원처리여부,민원처리일자,실내여부,지도자1급,지도자2급,지도자3급,운동시설세부,체육도장업분류여부,체육도장업상세분류,등록기준일
체육도장업,30102-2017-000007,무궁화태권도장 3교육관,30150,세종특별자치시 소담동 9-169 지엘플렉스2 ,세종특별자치시 소담1로 16 지엘플렉스2 207208호 (소담동),,172,,철골콘크리트조,일반상업지역,영업중,2017-03-07,2019-12-26,해결,2019-12-26,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2017-000008,용인대 SK 태권도,30126,세종특별자치시 새롬동 341-92 ,세종특별자치시 새롬중앙로 47 3층 301호 (새롬동 세움빌딩),,159,,철근콘크리트조,근린상업지역,영업중,2017-03-21,,해결,2017-03-21,실내,,,,,Y,태권도,2022-11-30
체육도장업,30102-2017-000009,가온누리태권도,30064,세종특별자치시 종촌동 653 ,세종특별자치시 도움3로 68 3층 (종촌동),,144,,철골콘크리트조,,영업중,2017-03-22,,해결,2017-03-22,실내,,1,,바닥면적 [제곱미터] : 144,Y,태권도,2022-11-30
체육도장업,30102-2017-000011,새빛 태권도,30126,세종특별자치시 새롬동 341-92 세움빌딩 ,세종특별자치시 새롬중앙로 47 세움빌딩 601 602호 (새롬동),,240,,철골콘크리트조,근린상업지역,영업중,2017-04-19,2018-04-04,해결,2018-04-05,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2017-000012,포올연구소,30130,세종특별자치시 나성동 713 ,세종특별자치시 한누리대로 207 207호 (나성동 세진이너스빌),,119,,철골콘크리트조,중심상업지역,영업중,2017-05-08,2019-01-23,해결,2019-01-24,실내,,1,,바닥면적 [제곱미터] : 119,Y,태권도,2022-11-30
체육도장업,30102-2017-000013,MTA 엘리트 태권도,30150,세종특별자치시 보람동 700-1 ,세종특별자치시 남세종로 469 (보람동 호려울마을4단지),96,96,,철골콘크리트조,일반주거지역,영업중,2017-05-08,,해결,2017-05-08,실내,,1,,바닥면적 [제곱미터] : 119,Y,태권도,2022-11-30
체육도장업,30102-2017-000015,경희대석사 효 태권도,30126,세종특별자치시 새롬동 산 25 새롬빌딩 ,세종특별자치시 새롬중앙로 59 새롬빌딩 304305호 (새롬동),,241,,,,영업중,2017-05-25,2020-03-23,해결,2020-03-23,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2017-000016,세종가온누리검도관,30063,세종특별자치시 고운동 1719 805호,세종특별자치시 마음로 74 805호 (고운동 그랜드프라자),1354,,133,철골콘크리트조,근린상업지역,영업중,2017-05-31,2017-07-25,해결,2017-07-25,실내,,1,,바닥면적 [제곱미터] : 133,Y,검도,2022-11-30
체육도장업,30102-2017-000018,용인대 새봄 태권도,30126,세종특별자치시 새롬동 산 21 ,세종특별자치시 새롬중앙로 51 4층 (새롬동 에스월드빌딩),,724,,철근콘크리트조,근린상업지역,영업중,2017-07-04,2020-09-04,해결,2020-09-04,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2017-000019,새뜸검도관,30128,세종특별자치시 나성동 361-79 ,세종특별자치시 나성북1로 12 806호 (나성동 메가타워2),,155,,철골콘크리트조,중심상업지역,영업중,2017-07-11,2021-06-03,해결,2021-06-03,실내,,,3,,Y,검도,2022-11-30
